User_Id,Location,Age,Age Group,Place_Id,Place_Ratings,Place_Name,Category,City,Price,Rating,Time_Minutes,travel_distance
16,"Bekasi,Jawa Barat",40,31-40,264,2,Gereja Katedral Santo Petrus Bandung,Tempat Ibadah,Bandung,0,4.8,,99
8,"Bandung,Jawa Barat",40,31-40,89,3,De Mata Museum Jogja,Budaya,Yogyakarta,50000,4.4,,321
8,"Bandung,Jawa Barat",40,31-40,235,4,Gua Belanda,Cagar Alam,Bandung,15000,4.4,45,7
8,"Bandung,Jawa Barat",40,31-40,202,3,Pantai Ngandong,Bahari,Yogyakarta,10000,4.5,,356
150,"Bekasi,Jawa Barat",40,31-40,369,2,Monumen Palagan Ambarawa,Budaya,Semarang,7500,4.4,20,393
150,"Bekasi,Jawa Barat",40,31-40,81,4,Mall Thamrin City,Pusat Perbelanjaan,Jakarta,0,4.4,60,20
150,"Bekasi,Jawa Barat",40,31-40,14,4,Pulau Pelangi,Bahari,Jakarta,900000,4.8,,88
8,"Bandung,Jawa Barat",40,31-40,290,2,Museum Pendidikan Nasional,Budaya,Bandung,5000,4.6,,7
16,"Bekasi,Jawa Barat",40,31-40,270,5,Bukit Bintang,Cagar Alam,Bandung,25000,4.6,,99
8,"Bandung,Jawa Barat",40,31-40,98,5,Taman Pelangi Yogyakarta,Taman Hiburan,Yogyakarta,15000,4.3,60,317
16,"Bekasi,Jawa Barat",40,31-40,275,4,Curug Cipanas,Cagar Alam,Bandung,20000,3.9,180,89
150,"Bekasi,Jawa Barat",40,31-40,122,1,Watu Goyang,Budaya,Yogyakarta,2500,4.4,45,421
16,"Bekasi,Jawa Barat",40,31-40,73,2,Museum Perangko,Budaya,Jakarta,5000,4.4,,10
8,"Bandung,Jawa Barat",40,31-40,393,5,Taman Harmoni Keputih,Cagar Alam,Surabaya,0,4.4,60,574
150,"Bekasi,Jawa Barat",40,31-40,180,1,Pantai Depok Jogja,Bahari,Yogyakarta,10000,4.3,,413
16,"Bekasi,Jawa Barat",40,31-40,121,4,Candi Prambanan,Budaya,Yogyakarta,50000,4.7,,421
8,"Bandung,Jawa Barat",40,31-40,143,5,Seribu Batu Songgo Langit,Cagar Alam,Yogyakarta,2000,4.6,90,330
8,"Bandung,Jawa Barat",40,31-40,306,2,Sungai Palayangan,Cagar Alam,Bandung,150000,4.6,,32
150,"Bekasi,Jawa Barat",40,31-40,165,2,Green Village Gedangsari,Taman Hiburan,Yogyakarta,2000,4.2,60,436
8,"Bandung,Jawa Barat",40,31-40,322,5,Bukit Jamur,Cagar Alam,Bandung,0,4.2,,37
150,"Bekasi,Jawa Barat",40,31-40,28,4,Wisata Agro Edukatif Istana Susu Cibugary,Taman Hiburan,Jakarta,35000,4.5,,13
8,"Bandung,Jawa Barat",40,31-40,98,2,Taman Pelangi Yogyakarta,Taman Hiburan,Yogyakarta,15000,4.3,60,317
150,"Bekasi,Jawa Barat",40,31-40,388,2,Watu Gunung Ungaran,Cagar Alam,Semarang,25000,4.4,,388
8,"Bandung,Jawa Barat",40,31-40,306,4,Sungai Palayangan,Cagar Alam,Bandung,150000,4.6,,32
16,"Bekasi,Jawa Barat",40,31-40,390,2,Durian Gardens and Tourism Education Watu Simbar,Cagar Alam,Semarang,5000,4.1,45,387
150,"Bekasi,Jawa Barat",40,31-40,67,3,Margasatwa Muara Angke,Cagar Alam,Jakarta,25000,4.2,15,29
16,"Bekasi,Jawa Barat",40,31-40,414,5,Jembatan Merah,Budaya,Surabaya,0,4.5,30,644
150,"Bekasi,Jawa Barat",40,31-40,44,3,Monumen Selamat Datang,Budaya,Jakarta,0,4.7,15,20
8,"Bandung,Jawa Barat",40,31-40,301,3,Lereng Anteng Panoramic Coffee Place,Cagar Alam,Bandung,50000,4.4,150,8
8,"Bandung,Jawa Barat",40,31-40,238,3,Gunung Manglayang,Cagar Alam,Bandung,7500,4.5,,14
16,"Bekasi,Jawa Barat",40,31-40,413,4,Museum TNI AL Loka Jala Crana,Budaya,Surabaya,2000,4.5,,642
16,"Bekasi,Jawa Barat",40,31-40,203,4,Galaxy Waterpark Jogja,Taman Hiburan,Yogyakarta,40000,4.3,,416
150,"Bekasi,Jawa Barat",40,31-40,333,4,Kota Mini,Taman Hiburan,Bandung,20000,4.4,,93
8,"Bandung,Jawa Barat",40,31-40,395,5,Taman Prestasi,Taman Hiburan,Surabaya,0,4.6,,567
150,"Bekasi,Jawa Barat",40,31-40,189,2,Pantai Nguluran,Bahari,Yogyakarta,10000,4.1,,435
16,"Bekasi,Jawa Barat",40,31-40,347,3,Taman Pandanaran,Taman Hiburan,Semarang,0,4.4,45,388
16,"Bekasi,Jawa Barat",40,31-40,30,4,Taman Menteng,Taman Hiburan,Jakarta,0,4.5,,19
8,"Bandung,Jawa Barat",40,31-40,25,5,Pasar Tanah Abang,Pusat Perbelanjaan,Jakarta,0,4.0,45,120
8,"Bandung,Jawa Barat",40,31-40,173,3,Pantai Nglambor,Bahari,Yogyakarta,10000,4.4,,365
16,"Bekasi,Jawa Barat",40,31-40,68,2,Pasar Petak Sembilan,Pusat Perbelanjaan,Jakarta,0,4.4,45,24
16,"Bekasi,Jawa Barat",40,31-40,89,3,De Mata Museum Jogja,Budaya,Yogyakarta,50000,4.4,,413
16,"Bekasi,Jawa Barat",40,31-40,150,4,Wisata Kraton Jogja,Budaya,Yogyakarta,7000,4.7,,410
16,"Bekasi,Jawa Barat",40,31-40,384,4,Kampung Tematik Jawi,Budaya,Semarang,0,4.5,90,384
8,"Bandung,Jawa Barat",40,31-40,130,3,Studio Alam Gamplong,Taman Hiburan,Yogyakarta,10000,4.4,120,305
16,"Bekasi,Jawa Barat",40,31-40,237,4,Panghegar Waterboom Bandung,Taman Hiburan,Bandung,75000,4.3,,104
150,"Bekasi,Jawa Barat",40,31-40,320,4,Pemandian Air Panas Cimanggu,Cagar Alam,Bandung,23000,3.9,60,107
8,"Bandung,Jawa Barat",40,31-40,267,4,Panama Park 825,Taman Hiburan,Bandung,50000,4.4,,5
16,"Bekasi,Jawa Barat",40,31-40,26,2,Pecinan Glodok,Pusat Perbelanjaan,Jakarta,0,4.3,20,24
16,"Bekasi,Jawa Barat",40,31-40,359,5,Taman Bunga Celosia,Cagar Alam,Semarang,25000,4.3,90,386
150,"Bekasi,Jawa Barat",40,31-40,83,5,Alive Museum Ancol,Taman Hiburan,Jakarta,200000,4.3,,22
16,"Bekasi,Jawa Barat",40,31-40,292,2,Curug Anom,Cagar Alam,Bandung,0,4.6,,88
150,"Bekasi,Jawa Barat",40,31-40,28,4,Wisata Agro Edukatif Istana Susu Cibugary,Taman Hiburan,Jakarta,35000,4.5,,13
150,"Bekasi,Jawa Barat",40,31-40,338,3,Lawang Sewu,Budaya,Semarang,10000,4.6,,387
150,"Bekasi,Jawa Barat",40,31-40,166,2,Kebun Teh Nglinggo,Cagar Alam,Yogyakarta,6000,4.5,,381
8,"Bandung,Jawa Barat",40,31-40,158,5,Pantai Pok Tunggal,Bahari,Yogyakarta,10000,4.5,,358
8,"Bandung,Jawa Barat",40,31-40,368,2,Kampoeng Rawa,Cagar Alam,Semarang,3000,4.5,,311
16,"Bekasi,Jawa Barat",40,31-40,322,5,Bukit Jamur,Cagar Alam,Bandung,0,4.2,,114
8,"Bandung,Jawa Barat",40,31-40,164,5,Pintoe Langit Dahromo,Cagar Alam,Yogyakarta,2500,4.4,60,330
150,"Bekasi,Jawa Barat",40,31-40,239,5,Lembang Park & Zoo,Cagar Alam,Bandung,50000,4.5,210,90
150,"Bekasi,Jawa Barat",40,31-40,156,3,Pantai Pulang Sawal,Bahari,Yogyakarta,10000,4.5,,452
150,"Bekasi,Jawa Barat",40,31-40,341,4,Hutan Wisata Tinjomoyo Semarang,Cagar Alam,Semarang,3000,4.3,,387
150,"Bekasi,Jawa Barat",40,31-40,4,4,Taman Mini Indonesia Indah (TMII),Taman Hiburan,Jakarta,10000,4.5,,10
150,"Bekasi,Jawa Barat",40,31-40,411,4,Masjid Muhammad Cheng Hoo,Tempat Ibadah,Surabaya,0,4.7,,646
150,"Bekasi,Jawa Barat",40,31-40,434,2,Taman Bungkul,Taman Hiburan,Surabaya,0,4.6,,646
8,"Bandung,Jawa Barat",40,31-40,294,4,Taman Film,Budaya,Bandung,0,4.3,90,2
8,"Bandung,Jawa Barat",40,31-40,56,2,Pantai Ancol,Bahari,Jakarta,25000,4.4,,123
16,"Bekasi,Jawa Barat",40,31-40,385,2,Kampung Batik Gedong Semarang,Budaya,Semarang,0,4.4,45,389
150,"Bekasi,Jawa Barat",40,31-40,400,2,Hutan Bambu Keputih,Cagar Alam,Surabaya,0,4.3,25,652
16,"Bekasi,Jawa Barat",40,31-40,434,3,Taman Bungkul,Taman Hiburan,Surabaya,0,4.6,,646
150,"Bekasi,Jawa Barat",40,31-40,220,5,Dusun Bambu,Taman Hiburan,Bandung,25000,4.5,,87
150,"Bekasi,Jawa Barat",40,31-40,332,5,Rainbow Garden,Cagar Alam,Bandung,20000,4.6,90,93
16,"Bekasi,Jawa Barat",40,31-40,201,3,Pantai Kesirat,Bahari,Yogyakarta,5000,4.6,90,431
8,"Bandung,Jawa Barat",40,31-40,45,2,Jakarta Aquarium dan Safari,Taman Hiburan,Jakarta,185000,4.6,,123
150,"Bekasi,Jawa Barat",40,31-40,217,3,Kebun Binatang Bandung,Cagar Alam,Bandung,20000,4.0,180,97
16,"Bekasi,Jawa Barat",40,31-40,167,3,Geoforest Watu Payung Turunan,Cagar Alam,Yogyakarta,0,4.5,60,425
16,"Bekasi,Jawa Barat",40,31-40,121,3,Candi Prambanan,Budaya,Yogyakarta,50000,4.7,,421
150,"Bekasi,Jawa Barat",40,31-40,427,5,Patung Buddha Empat Rupa,Budaya,Surabaya,0,4.3,,651
16,"Bekasi,Jawa Barat",40,31-40,67,4,Margasatwa Muara Angke,Cagar Alam,Jakarta,25000,4.2,15,29
150,"Bekasi,Jawa Barat",40,31-40,292,4,Curug Anom,Cagar Alam,Bandung,0,4.6,,88
8,"Bandung,Jawa Barat",40,31-40,30,3,Taman Menteng,Taman Hiburan,Jakarta,0,4.5,,118
8,"Bandung,Jawa Barat",40,31-40,433,4,Museum Mpu Tantular,Budaya,Surabaya,2000,4.4,45,566
16,"Bekasi,Jawa Barat",40,31-40,252,2,Kampoeng Tulip,Taman Hiburan,Bandung,15000,3.8,60,107
8,"Bandung,Jawa Barat",40,31-40,275,3,Curug Cipanas,Cagar Alam,Bandung,20000,3.9,180,13
16,"Bekasi,Jawa Barat",40,31-40,266,4,Caringin Tilu,Cagar Alam,Bandung,0,4.4,,99
16,"Bekasi,Jawa Barat",40,31-40,132,5,Air Terjun Kedung Pedut,Cagar Alam,Yogyakarta,20000,4.5,60,384
150,"Bekasi,Jawa Barat",40,31-40,51,5,Jakarta Planetarium,Taman Hiburan,Jakarta,12000,4.1,120,18
150,"Bekasi,Jawa Barat",40,31-40,311,4,The Lodge Maribaya,Cagar Alam,Bandung,25000,4.3,150,99
150,"Bekasi,Jawa Barat",40,31-40,371,5,Wisata Eling Bening,Cagar Alam,Semarang,25000,4.3,90,396
8,"Bandung,Jawa Barat",40,31-40,223,5,Masjid Raya Bandung,Tempat Ibadah,Bandung,0,4.7,,2
71,"Depok,Jawa Barat",39,31-40,343,2,Pantai Baruna,Bahari,Semarang,3000,4.0,,403
10,"Bekasi,Jawa Barat",39,31-40,95,5,Desa Wisata Sungai Code Jogja Kota,Taman Hiburan,Yogyakarta,0,5.0,,412
92,"Cirebon,Jawa Barat",39,31-40,380,3,Masjid Agung Ungaran,Tempat Ibadah,Semarang,0,4.7,,219
71,"Depok,Jawa Barat",39,31-40,168,1,Pantai Timang,Bahari,Yogyakarta,10000,4.7,90,470
71,"Depok,Jawa Barat",39,31-40,227,1,Alun-Alun Kota Bandung,Taman Hiburan,Bandung,0,4.6,60,107
71,"Depok,Jawa Barat",39,31-40,198,5,Pantai Greweng,Bahari,Yogyakarta,5000,4.6,,477
10,"Bekasi,Jawa Barat",39,31-40,67,5,Margasatwa Muara Angke,Cagar Alam,Jakarta,25000,4.2,15,29
92,"Cirebon,Jawa Barat",39,31-40,169,5,Puncak Segoro,Cagar Alam,Yogyakarta,5000,4.2,90,269
10,"Bekasi,Jawa Barat",39,31-40,280,5,Gereja Tiberias Indonesia Bandung,Tempat Ibadah,Bandung,0,4.9,,102
10,"Bekasi,Jawa Barat",39,31-40,18,5,Museum Bank Indonesia,Budaya,Jakarta,2000,4.7,,24
10,"Bekasi,Jawa Barat",39,31-40,197,3,Pantai Jungwok,Bahari,Yogyakarta,5000,4.6,,464
